team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Jaguars,JAX,16,,HB,553388714,Bhayshul Tuten,1,0,10762,33,10,52.90,28,96.55,1,20,1,221,189,7.89,6.75,17.18
Jaguars,JAX,16,,WR,553388606,Brian Thomas Jr,2,0,10263,7,11,161.40,19,76.00,6,90,9,194,884,10.21,46.53,80.36
Jaguars,JAX,16,,TE,553388528,Brenton Strange,3,0,2415,85,9,73.00,23,92.00,2,33,3,118,320,5.13,13.91,29.09
Jaguars,JAX,16,,WR,553387367,Quentin Johnston,3,0,2241,87,9,42.10,17,85.00,3,25,2,44,131,2.59,7.71,11.91
Jaguars,JAX,16,,HB,553386198,Tank Bigsby,3,0,2539,4,1,1.80,1,100.00,0,8,0,4,8,4.00,8.00,0.73
Jaguars,JAX,16,,WR,553386817,Zay Flowers,3,0,2140,10,9,97.00,37,90.24,4,46,2,185,480,5.00,12.97,48.00
Jaguars,JAX,16,,WR,553386314,Dyami Brown,5,0,1349,89,6,46.90,18,100.00,0,28,2,115,169,6.39,9.39,28.17
Jaguars,JAX,16,,HB,553386749,Travis Etienne Jr,5,0,1365,1,5,24.60,7,100.00,0,17,2,65,56,9.29,8.00,6.22
Jaguars,JAX,16,,TE,553387183,Austin Hooper,10,0,8057,81,5,17.50,5,83.33,1,25,1,30,65,6.00,13.00,5.91
Jets,NYJ,17,,WR,553388376,Tom Beckham,0,0,3370,15,11,49.80,22,91.67,2,24,0,77,278,3.50,12.64,25.27
Jets,NYJ,17,,TE,553388583,Mason Taylor,1,0,10750,85,6,192.60,42,87.50,6,100,11,360,846,8.57,20.14,141.00
Jets,NYJ,17,,HB,553386028,Braelon Allen,2,0,9996,0,3,13.00,5,71.43,2,40,0,63,80,12.60,16.00,7.27
Jets,NYJ,17,,TE,553386153,Brenden Bates,2,0,10870,80,4,14.20,4,66.67,2,17,1,17,42,4.25,10.50,3.82
Jets,NYJ,17,,HB,553387002,Breece Hall,4,0,1747,20,11,99.50,28,87.50,4,67,7,215,295,7.68,10.54,26.82
Jets,NYJ,17,,WR,553388921,Garrett Wilson,4,0,2040,5,9,84.00,29,93.55,2,48,3,118,370,4.07,12.76,33.64
Jets,NYJ,17,,TE,553386683,Greg Dulcich,4,0,1550,81,8,53.00,13,92.86,1,64,2,160,280,12.31,21.54,31.11
Jets,NYJ,17,,TE,553386340,Harrison Bryant,6,0,193,88,9,95.80,33,97.06,1,37,3,101,448,3.06,13.58,49.78
Jets,NYJ,17,,WR,553387510,Cooper Kupp,9,0,8626,10,11,213.80,63,95.45,3,52,9,466,968,7.40,15.37,88.00
Lions,DET,18,,WR,553387039,Luke Bragg,0,0,3384,29,9,56.00,20,90.91,2,33,1,95,300,4.75,15.00,27.27
Lions,DET,18,,HB,553388960,Nick Nava,0,0,10326,26,5,18.90,10,90.91,1,17,0,70,89,7.00,8.90,8.09
Lions,DET,18,,WR,553388602,Isaac TeSlaa,1,0,10752,18,3,29.40,12,92.31,1,16,1,23,114,1.92,9.50,10.36
Lions,DET,18,,HB,553386903,Jahmyr Gibbs,3,0,2564,3,4,35.90,9,100.00,0,42,2,114,149,12.67,16.56,18.63
